address,amount
0xebdaebfd68af8750dbd55edc5118dc5a9dac9cb2,4141.5
0xf71326a435fd4f8dba89a630d10776f2e96e1a35,4135.781544
0xd57fb9976673f77446e813b2347220f4caf200a3,4006.305788
0xabf1877289e569b27ee3ad74081be8badf4e67ab,3973.09313
0xab04c93bb0b77a92dfffa6b945630b6227349b61,3855.047442
0x923d657706a6252e8c3863cce35c17ca43211788,3847.5
0x3e81a4334a66d844bbbd7caa65594d4d2098a2fc,3841.293401
0x8156ff84a439833252c4000f66b2cecc11ad1852,3750
0x9ec86208bac948044ba32e4edca9a9025794b9d2,3750
0x9f05d33f54fbd03a95900bd3eef53ef43fe9a2c6,3627.3
0x1cd3dfa0e678685a27460a15f361cef30f831306,3600
0x8765656f2adfc8a346340465d8dccc752b3a5115,3589.809797
0x6200497152298635423b5aa2d08a5dcde0ceb35c,3333
0x0a8e20ee171630ef9dfebf02149169f90c133cd8,3305.592543
0x39201eca1f350bcc5bcdc359be7e7f4227bfd61f,3267.6
0x568f739c811eac61aa4ea2390801574c3914eb02,3173.986762
0x66e602e6081a14d687745bd06ae358371ce51be9,3170.7
0xd289790c1156d51d3bea4b006be5674c78a832ae,3048.075146
0x09d4b04c2c6eff828f752f73e6281d497b85e8ab,3005.4
0x797c52840689eeeebe2a89a7963dbb9b958d0ed8,3000.000003
0x7dc04fe87fdcc3f88f9a28bbd23aa06eb03fa41a,2977.5
0x50b099597bcd4233a38d22df0735c41428529540,2872.397967
0x9cb677f2a8daa9511ae79c2ba56395552b5d030d,2844.6
0xbcce870909b3dbbe28f744f69b080dbdeeb7748a,2792.1
0xe2aeaed05113791eb407b329aee322d54d5ad2ca,2788.2
0xa7c6188c61678f1208575a119845c741507850c5,2697.3
0x61b4c5ac588717379531c099118b5439e7938041,2666.812627
0x6fc5c111d1e2b0821947f8a74d048efe80f32dfa,2550
0x35df75ee381767e5e2a82989bab88fb010464641,2475
0x14f17987b2e94799584506725116742589ded0da,2372.4
0x9bd079b7ea9e6b322893faba7eed01c09761161e,2152.2
0xd74004c36ea8730a7b07f323113078bd1a7a5603,2100
0x079c5ca3ed6fc7e67dbe2e84f9a3ec8d3e390529,2091.834438
0x4373151c196edf75a1c33a1a7ecd4b2ac83f0bd0,2075.438251
0xab59ff2e815c423efd379facbfc5d5893592a241,2030.1
0x565065a2cfb9df40e1b8ae80b93208d8a440c6aa,1999.5
0x78703c03e4e510d61334039d991224e59a78852c,1920
0xfb6acad5d54cf5155beead30c214a981be4bfdb7,1906.8
0xc1733b0b49ee51fc1023e5be24b5b1920e5ddf0d,1906.054546
0x90cd9973595fd975552baaa67b63280b338c647b,1890
0x45bd401b7464893c100ac2cd53eb99d33d4e6e86,1875
0xf8e8d092fce6dcf0b3315e525eb2718feb99fa92,1793.4
0x13a2d26c94816b32fb4f636336a8a126220061a6,1747.122986
0x72a642a22c7e98660c369e1e86f4a53027f1f912,1710
0x184ef1e47cbf50f871b91389f6ad494f4ac00680,1703.7
0xc82b1cb83644117ab72cb88a65b75af26ab8044e,1674
0xf426b1d176584a42a1af1b8f59df7d62085fbd2d,1665
0xe6bb57226a54cd189a015d813705f22c9cec6912,1657.82173
0x5e813f01ee065dc909061bfe00fefce9df1865ef,1584.188457
0x40ea37a3fb9385ade4bbc248dc89f8991ac86237,1583.12115
0x97a120248624fa15dc4c16ab9de0e6ae167c732f,1575
0xe7545f76ecbc8435d348c79db53ea6e6693578ff,1570.2
0x47badc3b40cd9cb05c39291646058987ae55b5de,1565.4
0x2afdfa2d5d8a96d71497c6fdcceb17b16166d962,1560
0x85de4e85858bb255bc7c54fe24ae213e8b0d0d4b,1536.3
0x2622b81636410aa5932300ec168f10fcea2ce3d8,1507.5
0xcf2e5f47133262d210e64460a7680b093c5ac994,1506
0x81d98b017343b68a33535e6102c987fb22906d8b,1506
0xf22a879e4259012d72e8d5b2a9372841615ddbe3,1500
0x800dc63714f8f8df7ab55909c6f5ab2f5d45196f,1451.308965
0xfacf384617bfbf72cad7ab36b607e0f1797901bd,1440
0x09f16610f22e4fd0f388f54cf1a542561974b3c9,1429.2
0xe03c23519e18d64f144d2800e30e81b0065c48b5,1421.1
0xd1bb43418cc6bea1052d0638c86f32a71da8056e,1372.484819
0x6546d6b85efb10b5186144a72a82a8b6836fdbc1,1350
0x5806dfff3c7db27e8c6f8d9418d6c9bfd5b7af72,1346.1
0xa8b9d506179a6505d6ccb1c5c18c219dadef4b0c,1332.76239
0x91a37680f88468caa01b871d35286fd8393bd623,1329.6
0x235bca1ae5d464c587ce72d5bc5ecd217aec435a,1291.62515
0x2aaa5082328b3cb5e394328f686b2c7fd5587708,1284
0x3b9cb85e6ebeede04aab11454f42e0e94003794f,1275
0x1d802f0aa1dae326e55e11c1bc0497f9c43b8d5e,1268.90803
0xa6533955738cee568d904ba31a02c4b64e9e69f3,1258.8
0x563c771d87c9a99f6af36a75e130c79644a44fe8,1254
0x706a39f86f174d26c0b5285721fbc48beaa192a0,1240.2
0x6e6674166ed462b5ca2b8c62a103d38b88720a48,1235.4
0xd6ac5e0dcd58149bf177071a4abf1ded932aa30b,1223.7
0x08af03c672f1aceb444bb8cf290e73f956be904b,1200
0xff33ede10b8328aee6464f7796471c53c7db0f65,1200
0x838f2cc69905accc640111981c85ecce3ad5a62f,1200
0x2aa1eb6ca0b11d23658a2a073dbe8b0ce5aa9a43,1196.1
0xfc8ff11aaf3c25c3beba39c57431384e15ba1b82,1193.4
0x03ad3746386dfe47a6d8796228bafbd8ba0f9c8e,1176.256424
0x831bf10dbf32ebe45063b6d872727d96d30cc902,1167.3
0xd3e0af2fd0be2b6148916ab295d365c8f6fea179,1149.6
0x159beec4eb70707167dae8af118e3edb76ca6120,1128
0x7f8aebf33850dbed538ca857780a1abcb44d64b0,1125
0x57d8da429865399afae4258b77e1b140878e2ffc,1108.5
0x1244b7dc37ba514b2486f386aa721bdc7ac0a59f,1108.5
0x2290db4560fc5498c6749a7249c389bbcc388fbc,1086.3
0x75ead39274a56ce5eb7f2a60e3965820cfe51689,1079.4
0x23939dfaffd1c264df1a68fb0239dafbd28976d8,1065
0xea88024a26b8b053f15a85f9d47c7aa321b0300e,1064.4
0xe17cbfe0883d3f6c2a8764c1478c1c9160d48231,1050.6
0x7890d5fc7aef353de00a6ccca602b5a6f21e77ed,995.1
0x98fb935755571501d1f191d3eb7b4f43ad2e60eb,977.1
0xd0d090d70abb6bfe111592b2aac10024d240c3e4,967.7530422
0x5b66991ad83df666a168476d8a5cca15c263cac9,922.5
0xc7df58d2396fed83a12970b3d77f0faab8dfc2a7,906.9
0x639d6ec2cef4d6f7130b40132b3b6f5b667e5105,900
0xf53c764cd9019df88efcd7b1697f158c72407b8b,900
0xf602b2b32dd14aba2167d8ce57a876bc7c79fa36,899.1
0x6d9096cfff4dc143320536f7d4275b7b80366037,898.6504614
0x22cacff641e5a7450a6a00bb2e93d3b92170f26f,896.7
0x029c4bd1b18bbd29de48a4cf8b5d63c0a6781e11,893.4172112
0xccb79bdb1cefeb0a737a613e4340eae476a867e4,883.2
0x70bc228d46558c4ee7dae2819fdbd446e1fb358b,880.8
0x634e055f7d6ba55ce9b1dc6d25a851f348d7874e,872.1
0xa0f39111d7d1124aca553e53883ea4d991a80675,867.6
0x3d30383235ddd6932ff354401a43e085bc88e2af,860.3113737
0x8e0e686e74ceb5679975eadaf9a178efd54f890b,839.4
0x4ac6855e72c6401fa939398c995c666d6a7d1078,835.2
0x55e2334a145c612e6ed2a41a2a3ed310df36275d,834.6
0x2159d6ab53588fc4a8cc9e8eac33764038343f40,828.3
0x06c9fa07b23ac991c90ede810656b74fcef4a5fd,823.5
0x60d046fa5cab6e708d5b5df6c028eddaa6d51fc9,822
0x86d15d01cda6da5018621426d1d74888c0cb7239,821.1
0xc0201e626477ab83ca6d4f7b3935f9f9454471a2,814.9423302
0x78d83588e32d3188f439868d2eeb3058079986cb,794.7
0xa48c6c6871dac1445b1fb4ffe4a159aa9aa90962,794.7
0xbd45b330c910d94043775340bed09fa3f948231f,786.6
0x782fea106513c8bfec26499e99ee5712508f9ec1,780
0xce174b0a8be8dcd1c5b3cf19510f49d995dbb89f,769.5
0xfcd4ee2ac94bf83dcb0998e71d782fbe8725bb10,753
0x50636c7a56069690d47013740dbe193cc92fe274,751.0402071
0x8624372c03fd2fc7d6f6319e01bc15914aaad05e,750.9
0x9b6774e876b5495cf554bc640fb8cd4f233cdda1,750
0xd5521b04cec516d4bf9670ff264a94c9e5981a21,750
0x6930aeff9f26805cfcdabb99ae086e314d4cf9a0,750
0xb5222413d3448888ae7332478b1930d5005c4946,749.9928279
0x1841004507f1243f6270a68104065071d8197189,748.2
0x23f3234d6c301538c89c0ce8487ddec4f438c7d5,746.4
0x536487eaf3bebb881309c9b03a8f35f84995aed5,731.1
0xa157402fd5f47d7fcc60af29352806e77ef18ae6,723.3
0x2703373402edaa685a2a1492c794657c449b011e,701.4
0x02e7854234485b7297b3b3e61ad7a59a994b3594,699.9
0xb3bf66e38cd47c678cae2d4b4084849b2b82cd4d,699.3
0xb1e148735a8d83a6b8072702f047904e8cf58d24,680.4
0x0616f3f7ba089f8848f107e1200eca7c95b6009e,671.803467
0x77939b3a071fea157af77725755abbcab04cf4a1,668.6465301
0xca3affa4ede10966a8ed665bbb913a3c742a9e28,664.4966509
0x53fc6462511554b799b465bd94a4886d9a46135f,660
0xe9688508037df7c4e1386dea90a114846a8d623a,656.181
0x1097ea6becc91b6e94a32a6ba3596f49c8e0415a,644.7
0xd98e36a13a3479e6289b1b7c9337daaba3961a11,641.1959506
0x75d8d5a72bdc0c296f9135b4865a7308bf32e2c6,639.9
0x59b237e37e5383ec255613948775403d262f8fb0,633.6
0xb618f5566524806775449394141f5b261c7b2e48,633.3
0x2ba6395d242975a030867c0f0336c4ede33b13d7,624.3
0x5a26882a6d5360f917603d70e74a18c3519d0e0b,620.7
0xd3f35499e7ce34f6921a0e7dbc9086b2098ffbf1,606
0x1136b7ff83eeac94952afb3458e739bdb2c7c9cd,603
0x2d3df9bd67ff905fe9de5f5385aa19cfa57de562,600
0x296b436529dc64c03e9ceb77f032a04071d6c057,600
0x7f8815d7750987ed852116d406794473c9dd231a,600
0x857d52c8bbf86787da4811b9086d0d708bdae994,599.7
0x0ecf34f73b10569db3adbc59f572bc2c50febe21,591
0x98af3fd9255fc6bc67f8c3acd917ed84ff9aaf3c,585
0x8960b58d8362a4dcf6c0452b6fd37ba46288b5b2,582.9
0xe2b003a5a9feae555f634d74687285c581bac262,582.3957108
0x98c12ffc16a57a00d044d27c8c925e26eb2a9af7,570.2943251
0x71a5355ceff2e0cb62ae6b8998f9f3ee082a5e11,570
0x16d4c30002b5355212bc123821d9aa61d1c072b7,568.5
0xadc36d35c8899b2fe20a1c0829a17709f59ca95a,567.6
0x92938478236dad7877b43379b64051801e85fb4a,567.6
0x7ca6ad22fa6fbf755e92eadd58f71b90707d8305,564.3
0x7f8f5ed5a891e1c7c5980e3be6232b7ca6b5b4d1,563.7
0xd77826059029d9ddb3b9fe08bbe831958a1e84cc,557.1
0x88b7202dae308c6e5d163576f23b0b04ba9afb78,544.5
0x77857e5a93127c8c658bd87d3e25e47649cc29c8,540
0xba9073e6c8829f3d2249fcfd332eef89332a6837,534.8231193
0x34df91f8ae168da5b29dbdb616dc7f008f318d24,534.3564976
0x5f3e45c89674d4f2a9b2585ee845b9767cca92af,529.5
0x3833f8dbdbd6bdcb6a883ff209b869148965b364,525
0xa4c98976dd5fde695de039560d67004facee466c,517.2
0xe2dac409e1d44ca89c369fd3ebd34d470e34871f,513.6
0xde8886866335c42f7bad003c1d67d2075b9b7f25,508.2
0x04c19ba52106efeec2b2a360d2616fec6b934fe3,507.3
0xb61afc5e7798bd136dbb049299586623d061f312,504.9
0x397a9ddc2bee878ae46c64932f720e44c6a9cc6a,495.8774095
0x75fd1a140624ebfb3dda852b474483012a693038,492.3
0x4eef0ed91e784e4310ecb4e61463b039ab61bc31,481.2970358
0x3fc5a5c3f124856c494ba02239f72aab46105400,480.088705
0x039e551b7fd2961817cef5a2a0dd2f727e5a99a5,474
0xa438210894a2dfcb653e9a83cbd6c734d6d22595,455.4
0x80289615c419736c3732b5f84c05073621b4d7ca,451.8
0xd43c59a0e255bdecedf63ea52ab39c5d8ad2dfdb,451.8
0x4ed906793dd63dc67c0497e899eb586f174d72d0,451.8
0x267597c95017b217735ff34c94bd30ea7ef96941,451.8
0x142c7067ec8ae038070c72e34cdf0fa7d307c2b3,450
0x1fab0ce7813f7b455b797fa68d7687e95f816568,450
0xf6265604f978832e6cf3de3c77b66e8396118860,450
0xce4a1745541148b39f7f3eaa4b25f6eadde31604,450
0xb2f2ddbce100b2476629ba26a7941edac06174b3,450
0x39c27145670811b1fcca72b9dc1c949728cfe4c6,450
0xf6293c7db0b2df55e4b745302a88936274497ef4,447.9
0x1077f66f5e18fb99d4669294b5c0e2b0b172c016,445.8
0x3075df7ec96ca1ea8ce5b02e53509ea759d09352,437.4
0xbe47cabe42e7f55ca9206be39bdf946f58c6de61,435
0xf1a2b7aa09233715cfdcefe95fc74f6fc06307cb,432.6
0x972c2a81356e187db5330e0cbf03b8126cdbc85c,429
0x793cedd46440a46e355e02fbc6ea40ef91339286,426
0xa6f4c3df773d691b5ab389ada851e26e347d41e3,422.4
0x0102fd09c18f6f90f8ba6c02a3d50c23a3f6dd0d,420
0x916b54e547fbc85efe5fe888af6869439c5fde7c,414.9
0x9b7fb6025a05d1876f58ed12b2045a063faf280e,414.9
0xbf8c73ca501be9f3667c37eb261192a30949e07a,409.8
0xee4a6eb6874baaed8949f55763379ad5e91404f6,399.3
0x4118f5959b7fccacf4fe7a8c9ed53b1af7f39039,397.5
0x3239f49d5298613eb4dbf99b37ce795f3159dcd3,390
0x2cf2aa8e23348a5d4c8f4e9a615edc6fc704fb62,389.4680319
0x450ee87815997a14a9ee7fdf958b307f54dd4ab3,380.4
0x90cf2623fde82489cbecb763f059f2b35cbfb2a4,379.8
0x7a6b381a10028968dd7118f01044392a2b6d6028,379.8
0x1ca02ace57dcc4a25f31c98dd093355c2cdd0cb5,376.5
0x73b05a879b2f0ed878befd41af9e7db23c457e91,376.5
0xa95121f751c7dd80617bd7c0c27d872390049693,376.5
0x99d4064803fe72b5ff71a904bad1b743220aff7f,376.5
0x3b4ec5d5efe9899d59f4d46004a031f819d1f32b,376.5
0xc54a3ae51da8d3f567d6f2fe95bd5d3fd1a2b1a0,376.5
0xc12feb30b419e87e9ca050d20e345474d185cb2b,376.5
0xe879c624df7733199aa6b61dff0a7965f2f36caa,376.5
0xf0a18a8903e7e3baa8028f7cd2148ef306f8a1e3,376.5
0x203f490ef95057fd16d064a03e71a55359fb8a0f,375.6
0x194d14941ef5b1372232edb50159c7a01fd49acc,375
0x80787d82f249cdc701e43916260f911072c44206,375
0x336c17096ab657e72a6a2e07490b5d3c836ce02a,375
0x1eb67ced78c74fc4c6122d9ee60fea92a91065a2,375
0x63923744082a9120bd9bef021dee9e95eba2f07f,375
0x5f81328c36fa0029c94a087b78fa18d8e8dc87a0,375
0x1d35327c901004c4a702f5ea76682325320270bf,375
0xb89ee55e9aa34927d612bf5475685e67cfdd971f,375
0xd344d48c1eea3224e57a72312e3abc37d2564319,375
0x57b38610fd0350650515ce22cae98d3a6ec26fc4,375
0xa4ee65c37fd7714fb794af84f7a06a6ae394d0a8,375
0xe9734e6aa09ca2a2f1fde9ac0317bc7fac93cad8,375
0xfcb9d2acd48676ce3663292085fa78963067c91c,371.7
0xff26ccf9058b9bd8facfb6a8876864fec193285d,370.8
0x7f630b9289dea3366a61429507ab210ec78e4c9e,363.6
0xb3c53b0628b64e32e6a98161462ce4ee4a7ab145,362.2803201
0x8fe435e1e22227ed5f2bdcd7a4e15d4a1fbf942c,356.7
0xa44c22dce05acda274d77f743864c32c804262d1,356.7
0x7354a25fd6a84dfa8da4e14c1b4f59b94b189d06,349.8
0x29754b1f2830a9de19f95f061e708cd3747e1cd8,349.0318363
0xd565d85be73a6462e8b0676196f42aa6577b5c2f,344.1
0xba9c8d62e5af119dc149caeac2a7094d4b1f691f,342.6
0x506af55a865803f28f37bb4ad53f57c6f39519a2,342.3
0x744316ba0c8b594e039935b215d83ac46f133f5d,340.2
0xd477c9182477b53f0e1fb2c425842d8e32f5f881,339.3
0xad184b0ab75933136461ae8db75c40886587e971,338.7
0x899a23cb82406472268802c4fe8e30b45c6d3aea,330.6
0x03d614e22de662ed0149893a8a3f528274dbbc7a,325.8
0xde8677cd8aa77e77710e0265cd984b29ee85867a,323.969547
0x1b4b155e857976f45f7b2375b9eafafc5c760c42,322.2951966
0xdb1464029ac2ba3ecb846cec720a6d814f60f065,319.5
0xc6fe0989763ced3797fec6c78b1caf747a9defd8,318.6
0xdf4181b6b88f39af04ba6569a8cad2877b25e9c2,312.6
0x0045741732f8ee204123dc4ed19096dce367fcfb,312
0x3633646abea34805d2008dbd9ff7821a96b39ad6,309.9
0xe3f3f017e9b6eeed57ac62186fa416ee0af04974,306.9
0xb5e57b10da96f1addc527c1b1e5e8d8f84c944d4,306.2553285
0xeb46d0760e3f492600c67e80c8e632fb5a0587cc,303.3
0xd18aa1d32267f0331e35c90f77e5dc3b4fc513e8,301.8
0xe1812429f317e023a30617271d756a82fd6006c3,301.5
0x8145140ad008a4727bb3f14793dec02670a0a4c3,301.2
0xfa113845230f524650cbcf238b14202921c2f154,300
0x2c52bd861206b3426a3a20596a312dac2c248b2e,300
0x918cd5867f4103cde9c47edeee23872922ed43a4,298.2
0x9426c84f79f8638acca04082dc23651f61830783,294.6
0xadd6288ad74a02cdc9ae5959e6febb486251b07f,285.3
0x29bd698f2e68e313f27830a4a6b190b45ce8f4c0,282.8547418
0x822bdf756e796a1b554e61c7cfd2b3921c265fdf,277.8
0x4c20df12165a5396a8bdff7179866a78abda3abc,276
0x00d2aba0a7959fda2b0db19e20ce00512695bc2f,276
0xb051cfb8718ad1589a6ead5752805ade9383b28b,276
0x66371f8c6a2ba7ba753ccbfd9cdd11b1c3937e08,276
0xc7530e0d3d5e574e1a623802f7f3359923625752,276
0x78b0f3f45383f8c29e9f1d6e7f7023684fa7e002,275.7
0x59dbc62581ee92bdb2a6d61080a3330c77f111be,275.1
0xfc1a579f2db1e8728a3c34de24d2437077d7f91b,275.1
0x70157333948bc96a6f2f6f5b7359a9bd1a24a3b7,273.6
0x4dbec2b381e2031018df964953c12155c089b68d,269.7
0x2942126f94dce9774811605f85a75e04ab46fffd,269.7
0x9b750d4c8cf2e84682f48d843313061dcbbd8a67,269.4
0xb3bd6b79260866a3a26d1a74f2b5fe4ce4afbbba,268.2
0xb359a6c2315d2ddce9bdbe1d7a79535bf4301d0d,267.3
0x28805134ae636eeaf7783344c7efcf0cb9d9e8f4,265.2
0x1e4d93358b31b687fb3d5094f515604be8fb29e6,263.5573156
0xbf8770514ab1b47db2350b10124b532c3b6ff4b2,262.2
0x17406d74c5e04c4040e77cd6d3d5a6f0ac25426e,261.6
0xb57d738a7ed6b2a2c627205e74f01aa4a64c0b16,261
0x084098d591704b60211b1d6b61a106f2a687f4b1,260.4
0xa5f11624f0f51c76bfb5861076f9e8c4b56f3e49,258.3471471
0x08089b6d3653599b5d43cb4d0056b2130b48f0f4,255.9
0xe79e4a95dd61ca9e6ffd8821054a3745a229e33d,249.9
0x2a4c0a6e38f2ed802e43d02a7dcd04fdfbfe274d,249
0x66fac4c7008d2c89d08cff161487e55415621eba,248.1
0xcc89fb091e138d5087a8742306aedbe0c5cf8ce6,247.5
0x3aabdd79c5e3d969f3a58df46a3e5159167f205f,247.5
0x4bca636d7b4c77ee20cd85c4e6ea1ea67199a194,246.9
0x90944311d7f8be16fd52807fd31fde699cbb5925,246.9
0x4fb421dd213193b38e7f8fdb830ef9d8ec8c0e18,245.7
0x9b02e85da86a44ce670102f1bdf1928e29e7408d,245.7
0x77ee7e03ca4b19a03ae3c98354af877ea222f363,243.0390141
0xca0c72341ba951052ee87c2a7e92130b2c7df105,240
0xf073c642e81c143da7b033ac2137ae0d886b979e,234
0x3caf983accccc2551195e0809b7824da6fde4ec8,230.4
0x66878e0d5536f87d710ae5cd9f632f1d0b6aef0b,229.8
0x0678c77fd5222a3c4284aa730d9236db339e9be1,229.2
0x3aa7c44665f30ad79cc4a8cc9da538e6f62c73c6,228.3
0x77effe293dd70de5dbdae46dce252dc0fa3b6664,227.1
0xfc8d8ab7d2d987c493dc0e689cb730143fe4a33a,227.1
0x852614e8f8ead5d4577b547a5ca364d7dfd0b1ce,227.1
0x995d8b47357b2e67f1cf2937a17d443fc48ea08d,225.9
0x9c960d858a28283605c1be196f63fc6e7518d6c3,225.9
0x5865bb6bbd8b3147276fa51a7c6147a951e9e68d,225
0xa8a238f7ab3eaae867e422cf2defa8a5a7ebc24c,225
0xe245503f8a33ebddd718915132869c9ba9df37a8,225
0x7c939086fc11e7f5c28ae3f198a0df899bbdb681,225
0x2eea47f2ed59ea9c403221c1cfbe820319e20284,225
0xe49e66efde17f15a4699267af9485bb7abe60b55,225
0x512ef734d8ad98bbe10224a4022ce2a6dac46e60,224.2229145
0x3c382a649ffee0c37f975952e0f8a4ff2d6a8f48,223.2
0xf74dbe88f361dad8399f3763d893d042ffd56108,222.9
0xd3b5fe6b289cb137878814dbd69128e164f53911,222.3
0x225288f11535d7bfc2c60a5561702473b55d1c9b,218.1
0x2e89b128538201828d7631bd19cc032ba151b40c,218.1
0x4b9f94e8c548a8c5910336ea09c34e4faa05183a,218.1
0x756e8259c266229d687df5cafa7b1293ca3f6a1a,217.5
0xb16b8851a4ef8ab8ec7e7eb3c403f00443e7359e,217.2
0xc7ca8fcaf7b1dc7516eb37b68b4fc3dc619f0ede,217.1120811
0xc3f7ef0434bac70e15bee01c3d1689b39ff5db81,213.3
0x4201e209b048a464c15a3fc6b71d6049e5a36b12,212.7
0xcea2190e1ca961a9025662f33538e93cad346b8e,210
0x16f987e169307f144bd3515966b5586a5eca7a44,210
0xd09984dd6510ea3e9ce7742afea3c4317f74199e,208.8
0xda475e6e41f95dbd008b1d14eb9af198fb9c3396,207.9185174
0xf2e514209e87690bd6233b74dd3f7fb99e3074a8,207.3
0xf7c1ca4f99e633ae80d8e0530c99874c80ad307e,206.4
0xc28a78a1119c530ce6035d474fe616c4eec4ee57,204.6
0x6807c90e6ff6d7b8b5b6e5551b9f798d9a7ca892,203.5555701
0x800c08c1137d01dee86e0bab11e70e360b04da8d,202.8
0x6c8c93c7563e87c0e9799e8f1f33b90579adbac2,200.7
0xfad81781f19e7853133ff5bd8484f21109375983,199.8
0x25c010aa3e376356cac63cd54a88a88101994af8,199.664509
0x423ee8e3881e097246a67c6a72b740f520ef97cf,196.5
0xd6146c64896d92d4d32c37cb06779ddf20a05c82,195.3
0xf23a7aab5597cd0905d1f42875448f72c6428870,195
0x422afceb5ff2f6b8aa382a43170e8cc186670f3b,195
0x5c632a444476d7a8974a1c0feb02b87fe18e61fd,190.2
0xd05c419ff91882a164b4e75a01fa47858061a8cc,189.9
0xc11957505e395b2b1ddb7279721c9bf82f8994bc,186.9011893
0x27fd393cbcfaf30d5bf7823d9f53e41fceb22bc1,186.9
0x4d0465c4d4a8271b61232eabda63afa79c4954a8,186
0x3c5cad745897c3184c180ad8cd6c3f98c982c846,185.7
0x47e382992bcf297bbf232118e141784b2349f6ac,185.7
0x83cc8ba2b886ff10e12e830e4b5d874f73914076,183.6
0xf04ae23b24df175a4d69a64f33141a44128c0b5e,182.1
0x7f78139e2f3c8b84d6e5a8f334c602baeb5186c2,180
0x6db1dafb2649ed92c78c5c83467acfbee9de48b7,180
0xed51c645b99b0d76dbc25a72567fca9d3d276cfc,177.9
0xff44d051383b08e1f56fcbc0cf1e4684bc6d2196,177.6
