address,allocation
0x40Ea37a3fB9385aDe4bbc248dC89F8991AC86237,375
0xc0121fb4db5214fb4faba8c355399ef794c0314f,350
0xe46cbfc17a835966f989d530d089453593edc097,250
0x4BFf3da8ffB85305A8B7d14E8d987ec3C5a21eA6,250
0x3D584093c6300A37042aE0874639D3800E273581,249
0xaa3c4762aff7cb78e472292e7ce1a0f97f3ee5a1,247
0x69183f4f61a9b6d122c094730b2885490ed0c49e,247
0x13b86a16cb16acf9628aa9c330eec706b6041836,247
0x67622923f2ecaea0cbdd422e5a0e6603464e29be,246
0xff8aa93d20e8c55eef67b512279c0e8afb2ef9cb,245
0x0db0237d486fb5d9a2bd709c5777b8d382f3d713,243
0x60dd7b0f10e25438fd3110768e929977728f7e5c,243
0x0A587EB1106c6876D0131F40f96DF06CAd9bAc20,242
0x7Aa679eabB6607a17b1971b814Fa8ca362aAe876,175
0xb3bd6b79260866a3a26d1a74f2b5fe4ce4afbbba,175
0xa0b7851b9a83445f992c1f062ff20752c22b418b,150
0x56c637407cebb7ad064f33da5ca9634149efa381,150
0xa676e2f311b8494720abae4319550b04a9fe051e,150
0xf23A7aab5597CD0905d1F42875448f72C6428870,150
0xf0c48a8c281076698f6d047ccb05f76062b5df35,125
0x800DC63714f8f8dF7ab55909c6f5aB2F5d45196f,125
0xad61c06C7a845c425930797fC17278f698532574,125
0x3d77a4451429e5263d4ef3183ffaf676ab0fabb5,100
0xEc95A72F0117a8E38adA7b5A3F49af4bAA4387c1,100
0xc14d446FD451146c4DfCB1fDc9eA103bd87e03f9,100
0x7823ec21765f6007e2205138c67f78dd8c0614cf,100
0x0F1e69fb58594B2a49698c67EF18a5c5f8Dc3a85,100
0xF3267099619A6f89e060d01304ac2aC70bbE3a43,75
0xD74004c36eA8730A7b07F323113078Bd1a7a5603,50
0x77b5d667ff72468a8b4c07c771b6442e35d174c2,50
0xceF5450f1366fCc286eb280BFb2ADe81dad6773A,50
0x50636C7A56069690D47013740dbe193CC92Fe274,50
0x0616F3f7Ba089F8848F107e1200eca7c95b6009E,50
0xe2C3271496F4ac541f913b2fEab42E5DE0994260,50
0x23137B95cc74D799ebb0532488241d02aD51F04A,50
0x1531eeB1C8c86e1A1F782C6407415882ee0571Fb,25
0xB92E82541a95808524270084a7D484bF8cF0eC37,25
0xd57FB9976673F77446e813B2347220f4Caf200A3,25
0xAF5008c4462f47bF0e5F23aE76955ce453727106,25
0x3aabdd79c5e3d969f3a58df46a3e5159167f205f,25
0x0555e6FAFB25c06ead1E2ef15D1444c86604f0B7,25
0x56B6f760F67DCA648d4bE992b56674872f0c542B,25
0x4ebd7252ef9aeb400004e5fe4d5f4da01e109478,25
0xA4d262166a71D63EA2a7c4f5E65BB764536D23B7,25
0x25056F969432B2Eb5A0B8238EB1CfCa4a24bFcbc,25
0xdFf6e3EB43bd8db90a02FcC74Fd0e897b32306ED,25
0x92C17f3036D28c9375e943D70b0F65A267E48C0f,25
0x2DFfde127a75892e8CE2B3F259fe65a1D25935Fa,25
0x78E712112feBCBB3E82Bc82D5f55B5A9510E7946,25
0x5eDB8f39D5a6545dD9A8443E6aC842AaD06F0237,25
0x891cc47f9C1483cbD983fb7d55170F5929bDf934,25
